CustomerID,Gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,NumSupportCalls,NumProductsUsed,DaysSinceLastContact,AvgMonthlyUsage,ContractMonthsRemaining,Churn,ChargesPerTenureMonth,ChargeAboveAvg,HighMonthlyCharge,SupportCallRate,DisengagementScore,IsMonthToMonth,IsLongTermContract,ContractRiskScore,AddOnCount,HasNoAddOns,IsFiberOptic,HasInternet,IsElectronicCheck,IsAutoPay,TenureBucket,ChurnRiskIndex
CUST-000001,Male,0,Yes,No,12.0,Yes,Yes,DSL,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),46.66,585.36,2,2,331,136.6,0,0,48.78,-16.621388000000003,0,2.0,0.30228310502283107,1,0,0.8333333333333334,4,0,0,1,0,1,0-12mo,0.3
CUST-000002,Female,0,Yes,No,36.0,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),32.4,1168.36,1,4,29,59.0,0,0,32.45444444444444,-30.881388,0,0.3333333333333333,0.015890410958904113,1,0,0.5,2,0,0,1,0,1,24-48mo,0.3
CUST-000003,Female,0,No,Yes,6.0,Yes,Yes,DSL,No,No,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),30.2,180.81,1,5,112,69.0,14,1,30.135,-33.081388000000004,0,2.0,0.05114155251141553,0,1,0.0,4,0,0,1,0,1,0-12mo,0.2
CUST-000004,Male,0,Yes,Yes,52.0,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),41.2,2162.83,6,2,64,272.2,0,1,41.59288461538461,-22.081387999999997,0,1.3846153846153848,0.058447488584474884,1,0,0.2777777777777778,4,0,0,1,0,1,48-72mo,0.4
CUST-000005,Male,0,Yes,No,53.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),28.92,1568.0,1,2,163,255.4,0,1,29.58490566037736,-34.361388,0,0.22641509433962262,0.14885844748858446,1,0,0.26388888888888884,0,1,0,0,0,1,48-72mo,0.4
CUST-000006,Female,0,Yes,No,29.0,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,105.99,3065.33,0,1,172,283.0,0,1,105.70103448275862,42.708611999999995,1,0.0,0.2356164383561644,1,0,0.5972222222222222,1,0,1,1,0,0,24-48mo,0.44999999999999996
CUST-000007,Male,0,No,No,18.0,Yes,Yes,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,52.82,951.71,8,1,228,249.9,0,0,52.87277777777778,-10.461388,0,5.333333333333333,0.31232876712328766,1,0,0.75,2,0,0,1,1,0,12-24mo,0.5499999999999999
CUST-000008,Female,0,No,No,64.0,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,No,Mailed check,96.0,6146.59,2,6,83,157.3,5,1,96.04046875,32.718612,1,0.375,0.0324853228962818,0,1,0.0,4,0,1,1,0,0,48-72mo,0.15
CUST-000009,Male,0,No,No,41.0,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,72.81,2981.75,1,6,303,137.3,0,0,72.72560975609755,9.528612000000003,0,0.29268292682926833,0.11859099804305284,1,0,0.4305555555555556,3,0,1,1,1,0,24-48mo,0.6
CUST-000010,Male,0,Yes,Yes,53.0,Yes,No,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Electronic check,72.87,3864.98,7,3,63,242.3,6,0,72.92415094339623,9.588612000000005,0,1.5849056603773584,0.04315068493150685,0,1,0.0,2,0,0,1,1,0,48-72mo,0.25
CUST-000011,Female,0,No,No,1.0,Yes,Yes,DSL,No,No,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),40.03,102.83,6,3,239,118.5,7,0,102.83,-23.251388,0,72.0,0.1636986301369863,0,1,0.0,4,0,0,1,0,1,0-12mo,0.30000000000000004
CUST-000012,Female,0,Yes,No,47.0,No,No phone service,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,70.93,3326.91,6,4,19,182.4,0,1,70.78531914893617,7.648612000000007,0,1.5319148936170213,0.01041095890410959,1,0,0.3472222222222222,4,0,1,1,0,0,24-48mo,0.5499999999999999
CUST-000013,Female,0,No,No,4.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),27.11,130.83,2,6,220,83.4,16,0,32.7075,-36.171388,0,6.0,0.08610567514677103,0,1,0.0,0,1,0,0,0,1,0-12mo,0.30000000000000004
CUST-000014,Female,0,Yes,No,35.0,Yes,Yes,DSL,Yes,No,No,Yes,No,No,Month-to-month,No,Mailed check,59.03,2050.02,13,2,177,150.1,0,0,58.572,-4.251387999999999,0,4.457142857142857,0.16164383561643836,1,0,0.5138888888888888,2,0,0,1,0,0,24-48mo,0.4
CUST-000015,Female,0,Yes,Yes,49.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),27.16,1322.81,8,1,216,207.8,3,0,26.99612244897959,-36.121387999999996,0,1.959183673469388,0.2958904109589041,0,1,0.0,0,1,0,0,0,1,48-72mo,0.2
