CustomerID,Gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,NumSupportCalls,NumProductsUsed,DaysSinceLastContact,AvgMonthlyUsage,ContractMonthsRemaining,Churn
CUST-000001,Male,0,Yes,No,12.0,Yes,Yes,DSL,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),46.66,585.36,2,2,331,136.6,0,0
CUST-000002,Female,0,Yes,No,36.0,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),32.4,1168.36,1,4,29,59.0,0,0
CUST-000003,Female,0,No,Yes,6.0,Yes,Yes,DSL,No,No,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),30.2,180.81,1,5,112,69.0,14,1
CUST-000004,Male,0,Yes,Yes,52.0,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),41.2,2162.83,6,2,64,272.2,0,1
CUST-000005,Male,0,Yes,No,53.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),28.92,1568.0,1,2,163,255.4,0,1
CUST-000006,Female,0,Yes,No,29.0,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,105.99,3065.33,0,1,172,283.0,0,1
CUST-000007,Male,0,No,No,18.0,Yes,Yes,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,52.82,951.71,8,1,228,249.9,0,0
CUST-000008,Female,0,No,No,64.0,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,No,Mailed check,96.0,6146.59,2,6,83,157.3,5,1
CUST-000009,Male,0,No,No,41.0,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,72.81,2981.75,1,6,303,137.3,0,0
CUST-000010,Male,0,Yes,Yes,53.0,Yes,No,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Electronic check,72.87,3864.98,7,3,63,242.3,6,0
CUST-000011,Female,0,No,No,1.0,Yes,Yes,DSL,No,No,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),40.03,102.83,6,3,239,118.5,7,0
CUST-000012,Female,0,Yes,No,47.0,No,No phone service,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,70.93,3326.91,6,4,19,182.4,0,1
CUST-000013,Female,0,No,No,4.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),27.11,130.83,2,6,220,83.4,16,0
CUST-000014,Female,0,Yes,No,35.0,Yes,Yes,DSL,Yes,No,No,Yes,No,No,Month-to-month,No,Mailed check,59.03,2050.02,13,2,177,150.1,0,0
CUST-000015,Female,0,Yes,Yes,49.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),27.16,1322.81,8,1,216,207.8,3,0
CUST-000016,Female,0,No,Yes,12.0,No,No phone service,Fiber optic,Yes,Yes,Yes,No,No,No,One year,Yes,Bank transfer (automatic),72.61,809.47,8,4,8,125.8,6,0
CUST-000017,Female,0,No,No,6.0,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,102.36,613.7,9,1,163,164.5,0,1
CUST-000018,Male,0,Yes,No,4.0,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,62.95,225.18,7,3,341,284.7,0,0
CUST-000019,Female,0,Yes,No,25.0,No,No phone service,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,87.98,2204.3,13,2,256,262.7,0,0
CUST-000020,Male,0,Yes,No,51.0,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),102.46,5218.44,4,2,194,179.8,0,1
CUST-000021,Female,1,No,No,7.0,Yes,Yes,DSL,Yes,No,No,Yes,No,No,One year,No,Bank transfer (automatic),64.94,422.35,11,5,356,274.0,7,1
CUST-000022,Male,0,Yes,No,8.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),29.59,234.4,8,5,89,171.0,0,1
CUST-000023,Male,1,Yes,Yes,61.0,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,88.72,5405.74,12,5,146,64.0,0,1
CUST-000024,Female,0,Yes,Yes,8.0,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Two year,No,Mailed check,65.84,568.02,8,3,187,57.4,21,0
CUST-000025,Female,0,Yes,No,41.0,Yes,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,25.33,1043.15,14,3,182,154.6,0,1
CUST-000026,Female,0,No,No,22.0,Yes,No,DSL,Yes,No,No,No,Yes,No,Two year,Yes,Credit card (automatic),39.91,851.93,13,4,129,276.5,8,0
CUST-000027,Male,0,Yes,No,71.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,20.83,1485.96,3,5,276,57.7,12,0
CUST-000028,Female,0,No,Yes,67.0,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,One year,Yes,Electronic check,72.29,4852.43,13,3,13,251.8,3,0
